Blocks:
<block:agricraft:crop>, tile.agricraft:crop.name
<block:ironchest:iron_shulker_box_yellow>, tile.IronShulkerBoxyellow.name
<block:mekanism:basicblock>, tile.BasicBlock.name
<block:mekanism:basicblock2>, tile.BasicBlock2.name
<block:mekanism:boundingblock>, Bounding Block
<block:mekanism:cardboardbox>, Cardboard Box
<block:mekanism:energycube>, tile.EnergyCube.name
<block:mekanism:gastank>, tile.GasTank.name
<block:mekanism:glowpanel>, Glow Panel
<block:mekanism:glowplasticblock>, Plastic Glow Block
<block:mekanism:machineblock>, tile.MachineBlock.name
<block:mekanism:machineblock2>, tile.MachineBlock2.name
<block:mekanism:machineblock3>, tile.MachineBlock3.name
<block:mekanism:obsidiantnt>, Obsidian TNT
<block:mekanism:oreblock>, tile.OreBlock.name
<block:mekanism:plasticblock>, Plastic Block
<block:mekanism:plasticfence>, Plastic Barrier
<block:mekanism:reinforcedplasticblock>, Reinforced Plastic Block
<block:mekanism:roadplasticblock>, Plastic Road
<block:mekanism:saltblock>, Salt Block
<block:mekanism:slickplasticblock>, Slick Plastic Block
<block:mekanism:transmitter>, tile.Transmitter.name
<block:mekanismgenerators:generator>, tile.Generator.name
<block:mekanismgenerators:reactor>, tile.Reactor.name
<block:mekanismgenerators:reactorglass>, tile.ReactorGlass.name
<block:minecraft:acacia_door>, Acacia Door
<block:minecraft:acacia_fence>, Acacia Fence
<block:minecraft:acacia_fence_gate>, Acacia Fence Gate
<block:minecraft:acacia_stairs>, Acacia Wood Stairs
<block:minecraft:activator_rail>, Activator Track
<block:minecraft:air>, Air
<block:minecraft:anvil>, Anvil
<block:minecraft:barrier>, Barrier
<block:minecraft:beacon>, Beacon
<block:minecraft:bed>, tile.bed.name
<block:minecraft:bedrock>, Bedrock
<block:minecraft:beetroots>, Beetroots
<block:minecraft:birch_door>, Birch Door
<block:minecraft:birch_fence>, Birch Fence
<block:minecraft:birch_fence_gate>, Birch Fence Gate
<block:minecraft:birch_stairs>, Birch Wood Stairs
<block:minecraft:black_glazed_terracotta>, Black Glazed Terracotta
<block:minecraft:black_shulker_box>, Black Shulker Box
<block:minecraft:blue_glazed_terracotta>, Blue Glazed Terracotta
<block:minecraft:blue_shulker_box>, Blue Shulker Box
<block:minecraft:bone_block>, Bone Block
<block:minecraft:bookshelf>, Oak Bookshelf
<block:minecraft:brewing_stand>, Brewing Stand
<block:minecraft:brick_block>, Bricks
<block:minecraft:brick_stairs>, Brick Stairs
<block:minecraft:brown_glazed_terracotta>, Brown Glazed Terracotta
<block:minecraft:brown_mushroom>, Mushroom
<block:minecraft:brown_mushroom_block>, Mushroom
<block:minecraft:brown_shulker_box>, Brown Shulker Box
<block:minecraft:cactus>, Cactus
<block:minecraft:cake>, Cake
<block:minecraft:carpet>, Carpet
<block:minecraft:carrots>, Carrots
<block:minecraft:cauldron>, Cauldron
<block:minecraft:chain_command_block>, Chain Command Block
<block:minecraft:chest>, Oak Chest
<block:minecraft:chorus_flower>, Chorus Flower
<block:minecraft:chorus_plant>, Chorus Plant
<block:minecraft:clay>, Clay
<block:minecraft:coal_block>, Block of Coal
<block:minecraft:coal_ore>, Coal Ore
<block:minecraft:cobblestone>, Cobblestone
<block:minecraft:cobblestone_wall>, Cobblestone Wall
<block:minecraft:cocoa>, Cocoa
<block:minecraft:command_block>, Command Block
<block:minecraft:concrete>, tile.concrete.name
<block:minecraft:concrete_powder>, tile.concretePowder.name
<block:minecraft:crafting_table>, Crafting Table
<block:minecraft:cyan_glazed_terracotta>, Cyan Glazed Terracotta
<block:minecraft:cyan_shulker_box>, Cyan Shulker Box
<block:minecraft:dark_oak_door>, Dark Oak Door
<block:minecraft:dark_oak_fence>, Dark Oak Fence
<block:minecraft:dark_oak_fence_gate>, Dark Oak Fence Gate
<block:minecraft:dark_oak_stairs>, Dark Oak Wood Stairs
<block:minecraft:daylight_detector>, Daylight Sensor
<block:minecraft:daylight_detector_inverted>, Daylight Sensor
<block:minecraft:deadbush>, Dead Bush
<block:minecraft:detector_rail>, Detector Track
<block:minecraft:diamond_block>, Block of Diamond
<block:minecraft:diamond_ore>, Diamond Ore
<block:minecraft:dirt>, Dirt
<block:minecraft:dispenser>, Dispenser
<block:minecraft:double_plant>, Plant
<block:minecraft:double_stone_slab>, Stone Slab
<block:minecraft:double_stone_slab2>, Red Sandstone Slab
<block:minecraft:double_wooden_slab>, Wood Slab
<block:minecraft:dragon_egg>, Dragon Egg
<block:minecraft:dropper>, Dropper
<block:minecraft:emerald_block>, Block of Emerald
<block:minecraft:emerald_ore>, Emerald Ore
<block:minecraft:enchanting_table>, Enchantment Table
<block:minecraft:end_bricks>, End Stone Bricks
<block:minecraft:end_gateway>, tile.null.name
<block:minecraft:end_portal>, tile.end_portal.name
<block:minecraft:end_portal_frame>, End Portal
<block:minecraft:end_rod>, End Rod
<block:minecraft:end_stone>, End Stone
<block:minecraft:ender_chest>, Ender Chest
<block:minecraft:farmland>, Farmland
<block:minecraft:fence>, Oak Fence
<block:minecraft:fence_gate>, Oak Fence Gate
<block:minecraft:fire>, Fire
<block:minecraft:flower_pot>, Flower Pot
<block:minecraft:flowing_lava>, Lava
<block:minecraft:flowing_water>, Water
<block:minecraft:frosted_ice>, Frosted Ice
<block:minecraft:furnace>, Furnace
<block:minecraft:glass>, Glass
<block:minecraft:glass_pane>, Glass Pane
<block:minecraft:glowstone>, Glowstone
<block:minecraft:gold_block>, Block of Gold
<block:minecraft:gold_ore>, Gold Ore
<block:minecraft:golden_rail>, Booster Track
<block:minecraft:grass>, Grass Block
<block:minecraft:grass_path>, Grass Path
<block:minecraft:gravel>, Gravel
<block:minecraft:gray_glazed_terracotta>, Gray Glazed Terracotta
<block:minecraft:gray_shulker_box>, Gray Shulker Box
<block:minecraft:green_glazed_terracotta>, Green Glazed Terracotta
<block:minecraft:green_shulker_box>, Green Shulker Box
<block:minecraft:hardened_clay>, Terracotta
<block:minecraft:hay_block>, Hay Bale
<block:minecraft:heavy_weighted_pressure_plate>, Weighted Pressure Plate (Heavy)
<block:minecraft:hopper>, Hopper
<block:minecraft:ice>, Ice
<block:minecraft:iron_bars>, Iron Bars
<block:minecraft:iron_block>, Block of Iron
<block:minecraft:iron_door>, Iron Door
<block:minecraft:iron_ore>, Iron Ore
<block:minecraft:iron_trapdoor>, Iron Trapdoor
<block:minecraft:jukebox>, Jukebox
<block:minecraft:jungle_door>, Jungle Door
<block:minecraft:jungle_fence>, Jungle Fence
<block:minecraft:jungle_fence_gate>, Jungle Fence Gate
<block:minecraft:jungle_stairs>, Jungle Wood Stairs
<block:minecraft:ladder>, Ladder
<block:minecraft:lapis_block>, Lapis Lazuli Block
<block:minecraft:lapis_ore>, Lapis Lazuli Ore
<block:minecraft:lava>, Lava
<block:minecraft:leaves>, Leaves
<block:minecraft:leaves2>, Leaves
<block:minecraft:lever>, Lever
<block:minecraft:light_blue_glazed_terracotta>, Light Blue Glazed Terracotta
<block:minecraft:light_blue_shulker_box>, Light Blue Shulker Box
<block:minecraft:light_weighted_pressure_plate>, Weighted Pressure Plate (Light)
<block:minecraft:lime_glazed_terracotta>, Lime Glazed Terracotta
<block:minecraft:lime_shulker_box>, Lime Shulker Box
<block:minecraft:lit_furnace>, Furnace
<block:minecraft:lit_pumpkin>, Jack o'Lantern
<block:minecraft:lit_redstone_lamp>, Redstone Lamp
<block:minecraft:lit_redstone_ore>, Redstone Ore
<block:minecraft:log>, Wood
<block:minecraft:log2>, Wood
<block:minecraft:magenta_glazed_terracotta>, Magenta Glazed Terracotta
<block:minecraft:magenta_shulker_box>, Magenta Shulker Box
<block:minecraft:magma>, Magma Block
<block:minecraft:melon_block>, Melon
<block:minecraft:melon_stem>, Pumpkin Stem
<block:minecraft:mob_spawner>, Monster Spawner
<block:minecraft:monster_egg>, Stone Monster Egg
<block:minecraft:mossy_cobblestone>, Moss Stone
<block:minecraft:mycelium>, Mycelium
<block:minecraft:nether_brick>, Nether Brick
<block:minecraft:nether_brick_fence>, Nether Brick Fence
<block:minecraft:nether_brick_stairs>, Nether Brick Stairs
<block:minecraft:nether_wart>, Nether Wart
<block:minecraft:nether_wart_block>, Nether Wart Block
<block:minecraft:netherrack>, Netherrack
<block:minecraft:noteblock>, Note Block
<block:minecraft:oak_stairs>, Oak Wood Stairs
<block:minecraft:observer>, Observer
<block:minecraft:obsidian>, Obsidian
<block:minecraft:orange_glazed_terracotta>, Orange Glazed Terracotta
<block:minecraft:orange_shulker_box>, Orange Shulker Box
<block:minecraft:packed_ice>, Packed Ice
<block:minecraft:pink_glazed_terracotta>, Pink Glazed Terracotta
<block:minecraft:pink_shulker_box>, Pink Shulker Box
<block:minecraft:piston>, Piston
<block:minecraft:piston_extension>, tile.null.name
<block:minecraft:piston_head>, Piston
<block:minecraft:planks>, Wooden Planks
<block:minecraft:portal>, Portal
<block:minecraft:potatoes>, Potatoes
<block:minecraft:powered_comparator>, Redstone Comparator
<block:minecraft:powered_repeater>, Redstone Repeater
<block:minecraft:prismarine>, Prismarine
<block:minecraft:pumpkin>, Pumpkin
<block:minecraft:pumpkin_stem>, Pumpkin Stem
<block:minecraft:purple_glazed_terracotta>, Purple Glazed Terracotta
<block:minecraft:purple_shulker_box>, Purple Shulker Box
<block:minecraft:purpur_block>, Purpur Block
<block:minecraft:purpur_double_slab>, Purpur Slab
<block:minecraft:purpur_pillar>, Purpur Pillar
<block:minecraft:purpur_slab>, Purpur Slab
<block:minecraft:purpur_stairs>, Purpur Stairs
<block:minecraft:quartz_block>, Block of Quartz
<block:minecraft:quartz_ore>, Nether Quartz Ore
<block:minecraft:quartz_stairs>, Quartz Stairs
<block:minecraft:rail>, Track
<block:minecraft:red_flower>, Flower
<block:minecraft:red_glazed_terracotta>, Red Glazed Terracotta
<block:minecraft:red_mushroom>, Mushroom
<block:minecraft:red_mushroom_block>, Mushroom
<block:minecraft:red_nether_brick>, Red Nether Brick
<block:minecraft:red_sandstone>, Red Sandstone
<block:minecraft:red_sandstone_stairs>, Red Sandstone Stairs
<block:minecraft:red_shulker_box>, Red Shulker Box
<block:minecraft:redstone_block>, Block of Redstone
<block:minecraft:redstone_lamp>, Redstone Lamp
<block:minecraft:redstone_ore>, Redstone Ore
<block:minecraft:redstone_torch>, Redstone Torch
<block:minecraft:redstone_wire>, Redstone Dust
<block:minecraft:reeds>, Sugar cane
<block:minecraft:repeating_command_block>, Repeating Command Block
<block:minecraft:sand>, Sand
<block:minecraft:sandstone>, Sandstone
<block:minecraft:sandstone_stairs>, Sandstone Stairs
<block:minecraft:sapling>, Oak Sapling
<block:minecraft:sea_lantern>, Sea Lantern
<block:minecraft:silver_glazed_terracotta>, Light Gray Glazed Terracotta
<block:minecraft:silver_shulker_box>, Light Gray Shulker Box
<block:minecraft:skull>, tile.skull.skeleton.name
<block:minecraft:slime>, Green Slime Block
<block:minecraft:snow>, Snow
<block:minecraft:snow_layer>, Snow
<block:minecraft:soul_sand>, Soul Sand
<block:minecraft:sponge>, Sponge
<block:minecraft:spruce_door>, Spruce Door
<block:minecraft:spruce_fence>, Spruce Fence
<block:minecraft:spruce_fence_gate>, Spruce Fence Gate
<block:minecraft:spruce_stairs>, Spruce Wood Stairs
<block:minecraft:stained_glass>, Stained Glass
<block:minecraft:stained_glass_pane>, Stained Glass Pane
<block:minecraft:stained_hardened_clay>, Stained Terracotta
<block:minecraft:standing_banner>, White Banner
<block:minecraft:standing_sign>, Sign
<block:minecraft:sticky_piston>, Sticky Piston
<block:minecraft:stone>, Stone
<block:minecraft:stone_brick_stairs>, Stone Brick Stairs
<block:minecraft:stone_button>, Button
<block:minecraft:stone_pressure_plate>, Stone Pressure Plate
<block:minecraft:stone_slab>, Stone Slab
<block:minecraft:stone_slab2>, Red Sandstone Slab
<block:minecraft:stone_stairs>, Cobblestone Stairs
<block:minecraft:stonebrick>, Stone Bricks
<block:minecraft:structure_block>, Structure Block
<block:minecraft:structure_void>, Structure Void
<block:minecraft:tallgrass>, Grass
<block:minecraft:tnt>, TNT
<block:minecraft:torch>, Torch
<block:minecraft:trapdoor>, Oak Trapdoor
<block:minecraft:trapped_chest>, Oak Trapped Chest
<block:minecraft:tripwire>, Tripwire
<block:minecraft:tripwire_hook>, Tripwire Hook
<block:minecraft:unlit_redstone_torch>, Redstone Torch
<block:minecraft:unpowered_comparator>, Redstone Comparator
<block:minecraft:unpowered_repeater>, Redstone Repeater
<block:minecraft:vine>, Vines
<block:minecraft:wall_banner>, White Banner
<block:minecraft:wall_sign>, Sign
<block:minecraft:water>, Water
<block:minecraft:waterlily>, Lily Pad
<block:minecraft:web>, Cobweb
<block:minecraft:wheat>, Crops
<block:minecraft:white_glazed_terracotta>, White Glazed Terracotta
<block:minecraft:white_shulker_box>, White Shulker Box
<block:minecraft:wooden_button>, Oak Button
<block:minecraft:wooden_door>, Oak Door
<block:minecraft:wooden_pressure_plate>, Oak Pressure Plate
<block:minecraft:wooden_slab>, Wood Slab
<block:minecraft:wool>, Wool
<block:minecraft:yellow_flower>, Flower
<block:minecraft:yellow_glazed_terracotta>, Yellow Glazed Terracotta
<block:minecraft:yellow_shulker_box>, Yellow Shulker Box
<block:mowziesmobs:campfire>, Campfire
<block:mowziesmobs:grottol>, Grottol
<block:mowziesmobs:painted_acacia>, Painted Acacia Wood
<block:mowziesmobs:painted_acacia_double_slab>, Painted Acacia Wood Slab
<block:mowziesmobs:painted_acacia_slab>, Painted Acacia Wood Slab
<block:mysticalagriculture:aluminum_brass_crop>, Aluminum Brass Crop
<block:mysticalagriculture:aluminum_crop>, Aluminum Crop
<block:mysticalagriculture:amber_crop>, Amber Crop
<block:mysticalagriculture:ardite_crop>, Ardite Crop
<block:mysticalagriculture:basalt_crop>, Basalt Crop
<block:mysticalagriculture:blaze_crop>, Blaze Crop
<block:mysticalagriculture:bronze_crop>, Bronze Crop
<block:mysticalagriculture:chicken_crop>, Chicken Crop
<block:mysticalagriculture:coal_block>, tile.ma.coal_block.name
<block:mysticalagriculture:coal_crop>, Coal Crop
<block:mysticalagriculture:cobalt_crop>, Cobalt Crop
<block:mysticalagriculture:cobbled_soulstone_slab>, Cobbled Soulstone Slab
<block:mysticalagriculture:cobbled_soulstone_slab_full>, tile.ma.cobbled_soulstone_slab_full.name
<block:mysticalagriculture:cobbled_soulstone_stairs>, Cobbled Soulstone Stairs
<block:mysticalagriculture:cobbled_soulstone_wall>, tile.ma.cobbled_soulstone_wall.normal.name
<block:mysticalagriculture:conductive_iron_crop>, Conductive Iron Crop
<block:mysticalagriculture:copper_crop>, Copper Crop
<block:mysticalagriculture:cow_crop>, Cow Crop
<block:mysticalagriculture:creeper_crop>, Creeper Crop
<block:mysticalagriculture:dark_steel_crop>, Dark Steel Crop
<block:mysticalagriculture:desh_crop>, Desh Crop
<block:mysticalagriculture:diamond_crop>, Diamond Crop
<block:mysticalagriculture:dirt_crop>, Dirt Crop
<block:mysticalagriculture:dye_crop>, Dye Crop
<block:mysticalagriculture:electrical_steel_crop>, Electrical Steel Crop
<block:mysticalagriculture:emerald_crop>, Emerald Crop
<block:mysticalagriculture:end_crop>, End Crop
<block:mysticalagriculture:end_inferium_ore>, End Inferium Ore
<block:mysticalagriculture:end_prosperity_ore>, End Prosperity Ore
<block:mysticalagriculture:end_steel_crop>, End Steel Crop
<block:mysticalagriculture:ender_amethyst_crop>, Ender Amethyst Crop
<block:mysticalagriculture:ender_biotite_crop>, Ender Biotite Crop
<block:mysticalagriculture:enderman_crop>, Enderman Crop
<block:mysticalagriculture:energetic_alloy_crop>, Energetic Alloy Crop
<block:mysticalagriculture:experience_crop>, Experience Crop
<block:mysticalagriculture:fiery_ingot_crop>, Fiery Ingot Crop
<block:mysticalagriculture:fire_crop>, Fire Crop
<block:mysticalagriculture:ghast_crop>, Ghast Crop
<block:mysticalagriculture:glowstone_crop>, Glowstone Crop
<block:mysticalagriculture:glowstone_ingot_crop>, Glowstone Ingot Crop
<block:mysticalagriculture:glowstone_lamp>, Glowstone Lamp
<block:mysticalagriculture:gold_crop>, Gold Crop
<block:mysticalagriculture:grains_of_infinity_crop>, Grains of Infinity Crop
<block:mysticalagriculture:graphite_crop>, Graphite Crop
<block:mysticalagriculture:growth_accelerator>, Growth Accelerator
<block:mysticalagriculture:guardian_crop>, Guardian Crop
<block:mysticalagriculture:ice_crop>, Ice Crop
<block:mysticalagriculture:inferium_ore>, Inferium Ore
<block:mysticalagriculture:inferium_reprocessor>, Inferium Seed Reprocessor
<block:mysticalagriculture:ingot_storage>, tile.ma.ingot_storage.name
<block:mysticalagriculture:intermedium_reprocessor>, Intermedium Seed Reprocessor
<block:mysticalagriculture:iron_crop>, Iron Crop
<block:mysticalagriculture:ironwood_crop>, Ironwood Crop
<block:mysticalagriculture:knightmetal_crop>, Knightmetal Crop
<block:mysticalagriculture:knightslime_crop>, Knightslime Crop
<block:mysticalagriculture:lapis_lazuli_crop>, Lapis Lazuli Crop
<block:mysticalagriculture:lead_crop>, Lead Crop
<block:mysticalagriculture:limestone_crop>, Limestone Crop
<block:mysticalagriculture:malachite_crop>, Malachite Crop
<block:mysticalagriculture:manyullyn_crop>, Manyullyn Crop
<block:mysticalagriculture:marble_crop>, Marble Crop
<block:mysticalagriculture:meteoric_iron_crop>, Meteoric Iron Crop
<block:mysticalagriculture:miners_torch>, Miner's Torch
<block:mysticalagriculture:mystical_machine_frame>, Mystical Machine Frame
<block:mysticalagriculture:nature_crop>, Nature Crop
<block:mysticalagriculture:nether_crop>, Nether Crop
<block:mysticalagriculture:nether_inferium_ore>, Nether Inferium Ore
<block:mysticalagriculture:nether_prosperity_ore>, Nether Prosperity Ore
<block:mysticalagriculture:nether_quartz_crop>, Nether Quartz Crop
<block:mysticalagriculture:obsidian_crop>, Obsidian Crop
<block:mysticalagriculture:osmium_crop>, Osmium Crop
<block:mysticalagriculture:peridot_crop>, Peridot Crop
<block:mysticalagriculture:pig_crop>, Pig Crop
<block:mysticalagriculture:prosperity_ore>, Prosperity Ore
<block:mysticalagriculture:prudentium_reprocessor>, Prudentium Seed Reprocessor
<block:mysticalagriculture:pulsating_iron_crop>, Pulsating Iron Crop
<block:mysticalagriculture:rabbit_crop>, Rabbit Crop
<block:mysticalagriculture:redstone_alloy_crop>, Redstone Alloy Crop
<block:mysticalagriculture:redstone_crop>, Redstone Crop
<block:mysticalagriculture:refined_obsidian_crop>, Refined Obsidian Crop
<block:mysticalagriculture:ruby_crop>, Ruby Crop
<block:mysticalagriculture:saltpeter_crop>, Saltpeter Crop
<block:mysticalagriculture:sapphire_crop>, Sapphire Crop
<block:mysticalagriculture:seed_reprocessor>, Seed Reprocessor
<block:mysticalagriculture:sheep_crop>, Sheep Crop
<block:mysticalagriculture:silicon_crop>, Silicon Crop
<block:mysticalagriculture:skeleton_crop>, Skeleton Crop
<block:mysticalagriculture:slime_crop>, Slime Crop
<block:mysticalagriculture:soul_glass>, Soul Glass
<block:mysticalagriculture:soul_glass_pane>, Soul Glass Pane
<block:mysticalagriculture:soularium_crop>, Soularium Crop
<block:mysticalagriculture:soulstone>, tile.ma.soulstone.name
<block:mysticalagriculture:soulstone_brick_slab>, Soulstone Brick Slab
<block:mysticalagriculture:soulstone_brick_slab_full>, tile.ma.soulstone_brick_slab_full.name
<block:mysticalagriculture:soulstone_brick_stairs>, Soulstone Brick Stairs
<block:mysticalagriculture:soulstone_brick_wall>, tile.ma.soulstone_brick_wall.normal.name
<block:mysticalagriculture:soulstone_slab>, Soulstone Slab
<block:mysticalagriculture:soulstone_slab_full>, tile.ma.soulstone_slab_full.name
<block:mysticalagriculture:spider_crop>, Spider Crop
<block:mysticalagriculture:steel_crop>, Steel Crop
<block:mysticalagriculture:steeleaf_crop>, Steeleaf Crop
<block:mysticalagriculture:stone_crop>, Stone Crop
<block:mysticalagriculture:storage>, tile.ma.storage.name
<block:mysticalagriculture:sulfur_crop>, Sulfur Crop
<block:mysticalagriculture:superium_reprocessor>, Superium Seed Reprocessor
<block:mysticalagriculture:supremium_reprocessor>, Supremium Seed Reprocessor
<block:mysticalagriculture:tanzanite_crop>, Tanzanite Crop
<block:mysticalagriculture:tier1_inferium_crop>, Tier 1 Inferium Crop
<block:mysticalagriculture:tier2_inferium_crop>, Tier 2 Inferium Crop
<block:mysticalagriculture:tier3_inferium_crop>, Tier 3 Inferium Crop
<block:mysticalagriculture:tier4_inferium_crop>, Tier 4 Inferium Crop
<block:mysticalagriculture:tier5_inferium_crop>, Tier 5 Inferium Crop
<block:mysticalagriculture:tin_crop>, Tin Crop
<block:mysticalagriculture:tinkering_table>, Tinkering Table
<block:mysticalagriculture:titanium_crop>, Titanium Crop
<block:mysticalagriculture:topaz_crop>, Topaz Crop
<block:mysticalagriculture:ultimate_reprocessor>, Ultimate Seed Reprocessor
<block:mysticalagriculture:vibrant_alloy_crop>, Vibrant Alloy Crop
<block:mysticalagriculture:water_crop>, Water Crop
<block:mysticalagriculture:wither_skeleton_crop>, Wither Skeleton Crop
<block:mysticalagriculture:witherproof_block>, Witherproof Block
<block:mysticalagriculture:witherproof_glass>, Witherproof Glass
<block:mysticalagriculture:wood_crop>, Wood Crop
<block:mysticalagriculture:yellorium_crop>, Yellorium Crop
<block:mysticalagriculture:zombie_crop>, Zombie Crop
<block:natura:amaranth_button>, Amaranth Button
<block:natura:amaranth_fence>, Amaranth Fence
<block:natura:amaranth_fence_gate>, Amaranth Fence Gate
<block:natura:amaranth_pressure_plate>, Amaranth Pressure Plate
<block:natura:amaranth_trap_door>, Amaranth Trap Door
<block:natura:barley_crop>, tile.natura.barley_crop.name
<block:natura:blaze_hopper>, Blaze Hopper
<block:natura:blaze_rail>, Blaze Rail
<block:natura:blaze_rail_activator>, Activator Blaze Rail
<block:natura:blaze_rail_detector>, Detector Blaze Rail
<block:natura:blaze_rail_golden>, Powered Blaze Rail
<block:natura:bloodwood_button>, Bloodwood Button
<block:natura:bloodwood_fence>, Bloodwood Fence
<block:natura:bloodwood_fence_gate>, Bloodwood Fence Gate
<block:natura:bloodwood_pressure_plate>, Bloodwood Pressure Plate
<block:natura:bloodwood_trap_door>, Bloodwood Trap Door
<block:natura:bluebells_flower>, Bluebells
<block:natura:clouds>, tile.natura.clouds.name
<block:natura:colored_grass>, tile.natura.colored_grass.name
<block:natura:colored_grass_slab>, tile.natura.colored_grass_slab.name
<block:natura:colored_grass_stairs_autumnal>, Autumnal Grass Stairs
<block:natura:colored_grass_stairs_bluegrass>, Bluegrass Stairs
<block:natura:colored_grass_stairs_topiary>, Topiary Grass Stairs
<block:natura:cotton_crop>, tile.natura.cotton_crop.name
<block:natura:darkwood_button>, Darkwood Button
<block:natura:darkwood_fence>, Darkwood Fence
<block:natura:darkwood_fence_gate>, Darkwood Fence Gate
<block:natura:darkwood_pressure_plate>, Darkwood Pressure Plate
<block:natura:darkwood_trap_door>, Darkwood Trap Door
<block:natura:eucalyptus_button>, Eucalyptus Button
<block:natura:eucalyptus_fence>, Eucalyptus Fence
<block:natura:eucalyptus_fence_gate>, Eucalyptus Fence Gate
<block:natura:eucalyptus_pressure_plate>, Eucalyptus Pressure Plate
<block:natura:eucalyptus_trap_door>, Eucalyptus Trap Door
<block:natura:fusewood_button>, Fusewood Button
<block:natura:fusewood_fence>, Fusewood Fence
<block:natura:fusewood_fence_gate>, Fusewood Fence Gate
<block:natura:fusewood_pressure_plate>, Fusewood Pressure Plate
<block:natura:fusewood_trap_door>, Fusewood Trap Door
<block:natura:ghostwood_button>, Ghostwood Button
<block:natura:ghostwood_fence>, Ghostwood Fence
<block:natura:ghostwood_fence_gate>, Ghostwood Fence Gate
<block:natura:ghostwood_pressure_plate>, Ghostwood Pressure Plate
<block:natura:ghostwood_trap_door>, Ghostwood Trap Door
<block:natura:hopseed_button>, Hopseed Button
<block:natura:hopseed_fence>, Hopseed Fence
<block:natura:hopseed_fence_gate>, Hopseed Fence Gate
<block:natura:hopseed_pressure_plate>, Hopseed Pressure Plate
<block:natura:hopseed_trap_door>, Hopseed Trap Door
<block:natura:lit_netherrack_furnace>, Nether Furnace
<block:natura:maple_button>, Maple Button
<block:natura:maple_fence>, Maple Fence
<block:natura:maple_fence_gate>, Maple Fence Gate
<block:natura:maple_pressure_plate>, Maple Pressure Plate
<block:natura:maple_trap_door>, Maple Trap Door
<block:natura:nether_berrybush_blightberry>, Blightberry Bush
<block:natura:nether_berrybush_duskberry>, Duskberry Bush
<block:natura:nether_berrybush_skyberry>, Skyberry Bush
<block:natura:nether_berrybush_stingberry>, Stingberry Bush
<block:natura:nether_blue_large_glowshroom>, tile.natura.nether_blue_large_glowshroom.name
<block:natura:nether_bookshelves>, tile.natura.nether_bookshelves.name
<block:natura:nether_button>, Button
<block:natura:nether_door_bloodwood>, item.natura.nether_door_bloodwood.name
<block:natura:nether_door_darkwood>, item.natura.nether_door_darkwood.name
<block:natura:nether_door_fusewood>, item.natura.nether_door_fusewood.name
<block:natura:nether_door_ghostwood>, item.natura.nether_door_ghostwood.name
<block:natura:nether_glass>, tile.natura.nether_glass.name
<block:natura:nether_glowshroom>, tile.natura.nether_glowshroom.name
<block:natura:nether_green_large_glowshroom>, tile.natura.nether_green_large_glowshroom.name
<block:natura:nether_heat_sand>, Heat Sand
<block:natura:nether_leaves>, tile.natura.nether_leaves.name
<block:natura:nether_leaves2>, tile.natura.nether_leaves2.name
<block:natura:nether_lever>, Lever
<block:natura:nether_logs>, tile.natura.nether_logs.name
<block:natura:nether_logs2>, Bloodwood
<block:natura:nether_planks>, tile.natura.nether_planks.name
<block:natura:nether_pressure_plate>, Pressure Plate
<block:natura:nether_purple_large_glowshroom>, tile.natura.nether_purple_large_glowshroom.name
<block:natura:nether_sapling>, tile.natura.nether_sapling.oak.name
<block:natura:nether_sapling2>, tile.natura.nether_sapling2.oak.name
<block:natura:nether_slab>, tile.natura.nether_slab.name
<block:natura:nether_stairs_bloodwood>, Blood Stairs
<block:natura:nether_stairs_darkwood>, Darkwood Stairs
<block:natura:nether_stairs_fusewood>, Fusewood Stairs
<block:natura:nether_stairs_ghostwood>, Ghostwood Stairs
<block:natura:nether_tainted_soil>, tile.natura.nether_tainted_soil.name
<block:natura:nether_thorn_vines>, Thornvines
<block:natura:nether_workbenches>, tile.natura.nether_workbenches.name
<block:natura:netherrack_furnace>, Nether Furnace
<block:natura:overworld_berrybush_blackberry>, Blackberry Bush
<block:natura:overworld_berrybush_blueberry>, Blueberry Bush
<block:natura:overworld_berrybush_maloberry>, Maloberry Bush
<block:natura:overworld_berrybush_raspberry>, Raspberry Bush
<block:natura:overworld_bookshelves>, tile.natura.overworld_bookshelves.name
<block:natura:overworld_door_eucalyptus>, item.natura.overworld_door_eucalyptus.name
<block:natura:overworld_door_hopseed>, item.natura.overworld_door_hopseed.name
<block:natura:overworld_door_maple>, item.natura.overworld_door_maple.name
<block:natura:overworld_door_redwood>, item.natura.overworld_door_redwood.name
<block:natura:overworld_door_redwood_bark>, item.natura.overworld_door_redwood_bark.name
<block:natura:overworld_door_sakura>, item.natura.overworld_door_sakura.name
<block:natura:overworld_door_silverbell>, item.natura.overworld_door_silverbell.name
<block:natura:overworld_door_tiger>, item.natura.overworld_door_tiger.name
<block:natura:overworld_leaves>, tile.natura.overworld_leaves.name
<block:natura:overworld_leaves2>, tile.natura.overworld_leaves2.name
<block:natura:overworld_logs>, tile.natura.overworld_logs.name
<block:natura:overworld_logs2>, tile.natura.overworld_logs2.name
<block:natura:overworld_planks>, tile.natura.overworld_planks.name
<block:natura:overworld_sapling>, tile.natura.overworld_sapling.oak.name
<block:natura:overworld_sapling2>, tile.natura.overworld_sapling2.oak.name
<block:natura:overworld_slab>, tile.natura.overworld_slab.name
<block:natura:overworld_slab2>, tile.natura.overworld_slab2.name
<block:natura:overworld_stairs_amaranth>, Amaranth Stairs
